personnel_id,age,deployment_days,daily_duty_hours,night_duties,leave_days,days_since_last_leave,transfer_frequency,training_days,workload_7_days,workload_30_days,sleep_hours,wellness_score,self_reported_stress,stress_risk
212,24,157,8.95,14,5,75,2,7,28.88,84.66,7.04,42.47,16.53,1
213,43,161,10.32,11,1,66,1,12,73.35,36.89,8.13,84.76,44.11,1
214,43,26,8.06,5,28,103,4,6,38.08,71.24,7.07,46.84,65.06,1
215,42,30,9.02,13,9,10,3,7,64.37,70.97,8.2,59.47,49.37,0
216,35,21,6.93,13,30,4,4,7,41.71,59.74,6.17,67.22,14.62,0
217,32,48,7.75,15,21,38,0,17,57.36,47.23,7.02,90.53,17.03,0
218,22,171,6.89,3,3,82,2,12,53.79,50.19,7.22,28.7,13.59,1
219,49,160,7.32,4,20,107,4,4,97.28,80.88,7.49,91.31,69.72,1
220,39,139,8.37,4,9,17,4,15,50.81,89.27,5.8,67.58,75.52,1
221,29,123,8.43,4,12,100,1,15,49.69,89.58,7.39,74.79,65.06,1
222,33,161,10.51,8,23,8,3,17,78.97,97.97,7.17,55.11,59.23,1
223,41,12,5.51,4,9,46,4,4,92.89,87.06,7.14,73.2,90.65,1
224,40,23,8.45,12,10,25,3,5,80.98,56.39,5.96,29.86,82.86,0
225,42,180,8.62,8,1,37,4,0,79.12,37.86,6.17,68.14,58.51,1
226,33,134,10.57,3,14,51,0,10,86.38,68.49,5.88,31.42,86.45,1
227,49,156,8.79,14,27,87,3,3,96.62,95.42,5.03,78.89,94.26,1
228,48,21,9.1,8,16,59,1,11,69.58,91.69,6.45,40.72,93.44,1
229,28,103,11.25,14,19,102,3,14,24.85,75.2,7.62,71.76,89.1,1
230,44,53,8.97,0,17,38,2,1,39.35,60.05,6.36,40.6,78.59,0
231,38,77,5.0,13,2,94,4,7,36.73,24.0,8.84,83.27,93.4,1
232,48,69,9.74,8,15,68,2,15,52.53,96.24,5.19,54.42,88.15,1
233,43,54,7.36,0,10,43,4,15,98.18,80.58,8.58,32.13,50.54,0
234,21,170,10.66,6,16,59,3,17,81.73,59.91,7.74,37.15,63.92,1
235,44,169,10.76,7,15,91,4,2,91.57,20.04,6.46,87.6,23.07,1
236,27,66,6.07,3,19,117,2,2,96.07,66.17,8.43,38.83,57.95,0
237,47,81,6.58,9,25,109,3,19,22.2,87.19,7.88,76.38,29.44,0
238,24,138,10.42,7,18,21,2,11,80.7,42.6,7.94,90.98,85.87,1
239,41,131,6.16,7,8,112,2,15,88.4,36.57,7.26,25.34,15.87,1
240,23,110,10.42,7,26,40,4,3,75.49,81.69,5.86,85.69,55.82,1
241,44,115,7.99,13,20,62,0,5,24.37,97.85,6.9,36.96,35.86,0
242,39,85,7.5,14,3,92,3,5,78.54,71.25,8.78,65.72,86.16,1
243,25,24,7.29,8,29,112,2,14,84.54,98.79,5.89,76.57,43.42,1
244,47,30,10.96,9,9,32,2,1,82.45,66.7,7.78,42.24,70.73,0
245,41,100,9.07,8,18,36,0,8,55.91,32.72,5.85,33.51,18.35,0
246,46,166,9.44,12,29,57,0,1,84.57,35.62,5.44,93.39,82.81,0
247,37,75,7.58,15,0,81,2,14,60.53,50.98,9.0,87.99,11.37,0
248,34,57,9.6,0,13,34,4,3,64.72,60.09,7.37,60.56,46.52,1
249,25,26,6.93,15,29,99,2,11,38.14,90.35,6.94,80.66,67.56,0
250,42,114,11.03,8,4,72,2,17,86.63,92.49,7.08,41.57,36.08,1
251,47,139,5.96,8,27,78,4,0,42.86,54.62,8.34,71.41,38.26,1
252,24,32,7.9,12,19,54,2,19,42.23,42.11,7.41,25.06,54.09,1
253,37,65,12.03,9,19,41,0,16,51.81,41.14,6.26,35.4,51.06,0
254,30,165,6.99,5,25,43,2,14,96.11,43.78,7.24,66.77,65.12,1
255,50,52,10.62,0,15,70,0,3,39.96,20.16,5.62,33.06,19.95,1
256,47,149,7.04,2,15,21,2,3,76.09,74.41,6.72,63.72,31.51,0
257,24,82,8.78,12,13,106,0,9,20.67,54.69,7.6,26.95,73.61,1
258,35,131,10.65,12,26,73,2,18,67.16,69.06,5.45,73.55,17.77,1
259,37,150,8.85,13,4,43,1,7,48.39,53.98,6.71,36.15,60.75,0
260,43,137,11.55,1,5,19,3,12,82.94,51.8,4.99,94.07,34.78,1
261,34,72,10.2,6,16,60,3,0,91.63,73.32,6.3,79.05,48.62,0
262,48,167,10.39,3,17,107,4,14,25.12,85.98,6.43,21.64,35.59,1
263,27,60,8.05,11,14,1,2,13,20.92,52.7,6.96,89.3,19.51,0
264,48,20,9.17,1,6,67,4,14,74.81,28.83,5.79,38.75,53.78,0
265,43,152,6.3,3,23,25,4,13,93.1,96.23,5.41,44.51,40.13,1
266,21,112,9.02,4,28,9,2,12,60.25,35.51,7.5,82.84,82.99,1
267,23,157,13.11,12,14,37,4,13,50.78,59.15,5.64,52.22,72.95,1
268,32,17,11.24,13,21,118,0,16,53.14,78.59,8.34,28.88,28.01,1
269,31,166,8.71,2,21,15,3,7,98.9,53.18,6.29,76.54,84.07,1
270,30,156,12.44,1,1,115,4,0,70.51,62.6,7.3,28.79,38.66,1
271,44,25,6.97,9,16,67,1,16,96.12,82.12,7.04,65.85,82.87,0
272,49,116,12.42,10,25,16,0,8,62.85,86.89,7.43,56.38,38.36,1
273,29,156,9.67,12,14,3,2,20,52.78,71.82,6.64,21.16,33.87,1
274,28,35,8.83,14,27,116,0,16,25.93,50.04,6.65,94.79,57.52,1
275,49,66,7.73,15,7,59,3,19,23.63,48.0,5.57,89.7,42.23,1
276,29,91,9.61,14,27,98,4,14,23.89,66.48,8.72,59.08,39.77,0
277,46,98,11.15,12,26,71,3,8,47.76,51.26,8.83,31.9,31.95,1
278,46,35,12.98,9,4,117,1,11,57.91,77.31,5.98,43.54,30.53,0
279,47,129,10.7,11,10,79,0,1,30.69,55.51,6.81,53.81,91.47,1
280,45,165,5.0,2,29,61,0,12,86.07,57.05,8.08,81.78,15.37,0
281,41,131,9.7,7,19,101,3,11,32.05,37.38,6.97,54.8,32.44,1
282,35,4,8.59,11,23,46,1,15,45.84,91.83,6.6,87.57,94.67,1
283,26,145,8.06,5,28,38,2,19,92.25,94.69,7.77,80.1,67.31,1
284,35,143,8.62,12,12,113,2,19,91.34,87.93,6.77,26.02,36.54,1
285,42,165,6.94,6,14,107,1,2,95.07,53.19,8.34,50.18,43.2,1
286,39,170,7.79,1,9,61,2,19,65.56,89.47,5.22,66.39,63.81,1
287,25,50,8.4,5,16,42,3,5,67.45,24.27,3.5,54.11,67.36,0
288,43,74,11.96,4,11,5,0,8,25.58,64.38,7.9,51.04,27.35,0
289,42,174,10.27,1,19,50,0,10,56.29,56.39,6.92,71.43,87.37,1
290,33,65,9.27,4,16,102,1,3,26.28,79.25,7.23,72.7,15.65,0
291,46,157,9.41,6,15,46,2,6,60.13,98.09,7.89,71.26,41.91,1
292,29,162,9.39,2,19,37,1,16,69.81,97.87,8.43,24.68,38.5,1
293,27,52,8.59,1,6,108,1,1,58.0,24.42,6.1,90.68,16.36,0
294,25,125,5.0,8,7,72,3,7,36.58,70.45,6.46,46.53,35.71,1
295,24,100,10.7,13,4,64,1,7,44.29,44.94,8.8,20.24,24.81,1
296,30,56,11.07,6,9,53,1,8,35.26,47.76,7.26,69.82,26.94,0
297,35,62,9.35,15,8,40,3,20,59.15,79.33,5.75,56.94,51.07,1
298,23,47,11.07,1,15,55,3,7,35.71,96.12,7.31,63.45,51.62,0
299,42,131,7.24,14,5,120,3,20,42.29,37.5,8.15,33.71,80.19,1
300,28,71,8.62,13,24,6,2,9,49.39,26.96,8.42,79.69,24.89,0
301,45,126,7.64,9,19,103,3,12,69.88,68.02,6.19,24.01,42.01,1
302,21,142,7.25,12,16,24,1,7,93.66,23.2,5.88,37.86,87.22,1
303,27,155,7.79,1,21,82,0,6,94.81,50.06,7.55,73.11,50.43,1
304,36,54,10.5,0,7,83,3,14,92.85,60.79,6.22,22.62,56.85,1
305,40,136,8.43,2,10,98,0,14,57.25,81.87,7.34,88.62,26.08,0
306,31,41,9.97,13,18,11,2,16,36.86,64.52,7.24,89.55,41.1,0
307,26,164,8.14,7,8,49,2,18,47.61,22.41,8.88,92.11,66.77,1
308,37,5,9.43,2,23,102,3,1,69.57,67.97,4.37,88.47,38.88,0
309,33,51,9.94,3,22,60,2,2,31.38,45.05,9.0,83.72,17.56,0
310,32,113,9.46,3,5,108,2,8,39.2,76.81,5.94,53.66,87.62,1
311,23,151,13.15,9,19,64,1,18,92.35,85.39,6.55,76.78,14.73,1
312,22,94,12.49,1,19,12,3,15,75.28,41.73,6.4,45.66,46.55,1
313,37,115,9.71,0,19,38,4,14,95.99,30.97,6.32,75.04,63.74,0
314,26,112,11.75,10,15,108,3,17,28.47,89.84,9.0,50.81,57.65,1
315,40,60,8.52,4,22,37,2,12,66.81,38.1,7.2,87.18,76.6,1
316,31,107,12.03,11,6,90,4,7,43.71,95.07,4.71,23.78,14.49,1
317,32,128,5.96,14,0,65,0,9,48.74,85.88,6.72,81.55,50.57,0
318,35,16,6.21,0,21,90,4,16,86.77,48.67,7.16,33.7,21.87,1
319,35,53,10.5,14,20,120,2,5,74.34,26.13,7.84,51.56,61.14,1
320,26,58,9.82,15,17,18,3,16,94.25,87.59,6.14,58.42,75.75,1
321,35,162,8.57,3,2,32,1,15,23.74,45.57,6.24,52.86,86.44,1
322,24,140,10.06,5,25,14,4,15,37.36,43.04,6.45,88.04,23.28,1
323,46,27,12.7,2,21,8,2,8,45.04,86.92,7.19,23.77,49.49,0
324,36,29,7.01,9,5,18,1,4,82.48,51.86,8.14,69.35,10.69,0
325,44,121,8.21,12,22,6,1,17,39.96,63.8,6.68,40.58,86.63,1
326,23,105,8.5,10,10,17,3,3,38.71,36.87,7.33,53.04,21.25,0
327,42,111,7.33,9,2,9,3,11,72.76,75.04,9.0,29.03,89.78,1
328,35,68,6.7,14,19,87,0,1,33.67,53.45,7.47,26.31,43.41,0
